from,to,amount,resource,time
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,159
0,72832678164482443,2.314816160975397e-05,food,160
0,72832678164482443,2.314814814852184e-05,water,160
0,72832678164482443,2.314814814852184e-05,energy,160
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,160
0,72832678164482443,2.3148134687289712e-05,food,161
0,72832678164482443,2.314814814852184e-05,water,161
0,72832678164482443,2.314814814852184e-05,energy,161
0,72832678164482443,2.314816160975397e-05,food,162
0,72832678164482443,2.314814814852184e-05,water,162
0,72832678164482443,2.314814814852184e-05,energy,162
0,72832678164482443,2.3148134687289712e-05,food,163
0,72832678164482443,2.314814814852184e-05,water,163
0,72832678164482443,2.314814814852184e-05,energy,163
0,72832678164482443,2.314816160975397e-05,food,164
0,72832678164482443,2.314814814852184e-05,water,164
0,72832678164482443,2.314814814852184e-05,energy,164
0,72832678164482443,2.3148134687289712e-05,food,165
0,72832678164482443,2.314814814852184e-05,water,165
0,72832678164482443,2.314814814852184e-05,energy,165
0,72832678164482443,2.314816160975397e-05,food,166
0,72832678164482443,2.314814814852184e-05,water,166
0,72832678164482443,2.314814814852184e-05,energy,166
0,72832678164482443,2.3148134687289712e-05,food,167
0,72832678164482443,2.314814814852184e-05,water,167
0,72832678164482443,2.314814814852184e-05,energy,167
0,72832678164482443,2.314816160975397e-05,food,168
0,72832678164482443,2.314814814852184e-05,water,168
0,72832678164482443,2.314814814852184e-05,energy,168
0,72832678164482443,2.3148134687289712e-05,food,169
0,72832678164482443,2.314814814852184e-05,water,169
0,72832678164482443,2.314814814852184e-05,energy,169
0,72832678164482443,2.314816160975397e-05,food,170
0,72832678164482443,2.314814814852184e-05,water,170
0,72832678164482443,2.314814814852184e-05,energy,170
0,72832678164482443,2.3148134687289712e-05,food,171
0,72832678164482443,2.314814814852184e-05,water,171
0,72832678164482443,2.314814814852184e-05,energy,171
0,72832678164482443,2.314816160975397e-05,food,172
0,72832678164482443,2.314814814852184e-05,water,172
0,72832678164482443,2.314814814852184e-05,energy,172
0,72832678164482443,2.3148134687289712e-05,food,173
0,72832678164482443,2.314814814852184e-05,water,173
0,72832678164482443,2.314814814852184e-05,energy,173
0,72832678164482443,2.314816160975397e-05,food,174
0,72832678164482443,2.314814814852184e-05,water,174
0,72832678164482443,2.314814814852184e-05,energy,174
0,72832678164482443,2.3148134687289712e-05,food,175
0,72832678164482443,2.314814814852184e-05,water,175
0,72832678164482443,2.314814814852184e-05,energy,175
0,72832678164482443,2.314816160975397e-05,food,176
0,72832678164482443,2.314814814852184e-05,water,176
0,72832678164482443,2.314814814852184e-05,energy,176
0,72832678164482443,2.3148134687289712e-05,food,177
0,72832678164482443,2.314814814852184e-05,water,177
0,72832678164482443,2.314814814852184e-05,energy,177
0,72832678164482443,2.314816160975397e-05,food,178
0,72832678164482443,2.314814814852184e-05,water,178
0,72832678164482443,2.314814814852184e-05,energy,178
0,72832678164482443,2.3148134687289712e-05,food,179
0,72832678164482443,2.314814814852184e-05,water,179
0,72832678164482443,2.314814814852184e-05,energy,179
0,72832678164482443,2.314816160975397e-05,food,180
