from,to,amount,resource,time
59157180392455231,5486152879909817087,0.16666666666666852,energy,122400
59157180392455231,4215053395084778161,0.16666666666666696,energy,122400
59157180392455231,471331748438011125,0.16666666666666452,energy,122400
9169393089374786098,6678226921428014654,0.11497518427184339,food,122400
4367212442693622771,940376366249863041,0.11150581687643335,food,122400
6020427076749934001,940376366249863041,0.05516084979023339,food,122400
6020427076749934001,6678226921428014654,0.051691482394823574,food,122400
9169393089374786098,6678226921428014654,0.11497518427184339,water,122400
4367212442693622771,940376366249863041,0.11150581687643335,water,122400
6020427076749934001,940376366249863041,0.05516084979023339,water,122400
6020427076749934001,6678226921428014654,0.051691482394823574,water,122400
9169393089374786098,6678226921428014654,0.11497518427184339,energy,122400
4367212442693622771,940376366249863041,0.11150581687643335,energy,122400
6020427076749934001,940376366249863041,0.05516084979023339,energy,122400
6020427076749934001,6678226921428014654,0.051691482394823574,energy,122400
4367212442693622771,940376366249863041,0.11117811755778284,food,129600
9169393089374786098,6678226921428014654,0.11111554353274133,food,129600
6020427076749934001,6678226921428014654,0.05555112313392474,food,129600
6020427076749934001,940376366249863041,0.055488549108883234,food,129600
4367212442693622771,940376366249863041,0.11117811755778284,water,129600
9169393089374786098,6678226921428014654,0.11111554353274133,water,129600
6020427076749934001,6678226921428014654,0.05555112313392474,water,129600
6020427076749934001,940376366249863041,0.055488549108883234,water,129600
4367212442693622771,940376366249863041,0.11117811755778284,energy,129600
9169393089374786098,6678226921428014654,0.11111554353274133,energy,129600
6020427076749934001,6678226921428014654,0.05555112313392474,energy,129600
6020427076749934001,940376366249863041,0.055488549108883234,energy,129600
59157180392455231,5486152879909817087,0.3333333333333335,food,136800
59157180392455231,4215053395084778161,0.33333333333333304,food,136800
59157180392455231,471331748438011125,0.33333333333333215,food,136800
59157180392455231,5486152879909817087,0.3333333333333335,water,136800
59157180392455231,4215053395084778161,0.33333333333333304,water,136800
59157180392455231,471331748438011125,0.33333333333333215,water,136800
59157180392455231,5486152879909817087,0.3333333333333335,energy,136800
59157180392455231,4215053395084778161,0.33333333333333304,energy,136800
59157180392455231,471331748438011125,0.33333333333333215,energy,136800
4367212442693622771,6678226921428014654,0.22258109489755284,food,144000
9169393089374786098,940376366249863041,0.22215212052280275,food,144000
6020427076749934001,940376366249863041,0.11118121281053073,food,144000
6020427076749934001,6678226921428014654,0.11075223843578197,food,144000
4367212442693622771,6678226921428014654,0.22258109489755284,water,144000
9169393089374786098,940376366249863041,0.22215212052280275,water,144000
6020427076749934001,940376366249863041,0.11118121281053073,water,144000
6020427076749934001,6678226921428014654,0.11075223843578197,water,144000
4367212442693622771,6678226921428014654,0.22258109489755284,energy,144000
9169393089374786098,940376366249863041,0.22215212052280275,energy,144000
6020427076749934001,940376366249863041,0.11118121281053073,energy,144000
6020427076749934001,6678226921428014654,0.11075223843578197,energy,144000
59157180392455231,4215053395084778161,0.3333333333333348,food,151200
59157180392455231,5486152879909817087,0.33333333333333326,food,151200
59157180392455231,471331748438011125,0.33333333333333215,food,151200
59157180392455231,4215053395084778161,0.3333333333333348,water,151200
59157180392455231,5486152879909817087,0.33333333333333326,water,151200
59157180392455231,471331748438011125,0.33333333333333215,water,151200
59157180392455231,4215053395084778161,0.3333333333333348,energy,151200
59157180392455231,5486152879909817087,0.33333333333333326,energy,151200
59157180392455231,471331748438011125,0.33333333333333215,energy,151200
9169393089374786098,6678226921428014654,0.11114314993335572,food,151200
6020427076749934001,940376366249863041,0.11109988606064292,food,151200
4367212442693622771,940376366249863041,0.055566780606023825,food,151200
4367212442693622771,6678226921428014654,0.05552351673331124,food,151200
9169393089374786098,6678226921428014654,0.11114314993335572,water,151200
6020427076749934001,940376366249863041,0.11109988606064292,water,151200
4367212442693622771,940376366249863041,0.055566780606023825,water,151200
4367212442693622771,6678226921428014654,0.05552351673331124,water,151200
9169393089374786098,6678226921428014654,0.11114314993335572,energy,151200
6020427076749934001,940376366249863041,0.11109988606064292,energy,151200
4367212442693622771,940376366249863041,0.055566780606023825,energy,151200
4367212442693622771,6678226921428014654,0.05552351673331124,energy,151200
59157180392455231,4215053395084778161,0.16666666666666696,food,158400
59157180392455231,5486152879909817087,0.16666666666666696,food,158400
59157180392455231,471331748438011125,0.16666666666666607,food,158400
59157180392455231,4215053395084778161,0.16666666666666696,water,158400
59157180392455231,5486152879909817087,0.16666666666666696,water,158400
59157180392455231,471331748438011125,0.16666666666666607,water,158400
59157180392455231,4215053395084778161,0.16666666666666696,energy,158400
59157180392455231,5486152879909817087,0.16666666666666696,energy,158400
59157180392455231,471331748438011125,0.16666666666666607,energy,158400
4367212442693622771,6678226921428014654,0.16666666666666696,food,158400
4367212442693622771,940376366249863041,0.14737807296146777,food,158400
6020427076749934001,940376366249863041,0.013427132749097126,food,158400
9169393089374786098,940376366249863041,0.005861460956101183,food,158400
4367212442693622771,6678226921428014654,0.16666666666666696,water,158400
4367212442693622771,940376366249863041,0.14737807296146777,water,158400
6020427076749934001,940376366249863041,0.013427132749097126,water,158400
9169393089374786098,940376366249863041,0.005861460956101183,water,158400
4367212442693622771,6678226921428014654,0.16666666666666696,energy,158400
4367212442693622771,940376366249863041,0.14737807296146777,energy,158400
6020427076749934001,940376366249863041,0.013427132749097126,energy,158400
9169393089374786098,940376366249863041,0.005861460956101183,energy,158400
59157180392455231,5486152879909817087,0.16666666666666674,food,165600
59157180392455231,471331748438011125,0.16666666666666607,food,165600
59157180392455231,4215053395084778161,0.1666666666666652,food,165600
59157180392455231,5486152879909817087,0.16666666666666674,water,165600
59157180392455231,471331748438011125,0.16666666666666607,water,165600
59157180392455231,4215053395084778161,0.1666666666666652,water,165600
59157180392455231,5486152879909817087,0.16666666666666674,energy,165600
59157180392455231,471331748438011125,0.16666666666666607,energy,165600
59157180392455231,4215053395084778161,0.1666666666666652,energy,165600
6020427076749934001,6678226921428014654,0.11705368361440538,food,165600
9169393089374786098,940376366249863041,0.11319826019545776,food,165600
4367212442693622771,940376366249863041,0.05346840647120876,food,165600
4367212442693622771,6678226921428014654,0.04961298305226158,food,165600
6020427076749934001,6678226921428014654,0.11705368361440538,water,165600
9169393089374786098,940376366249863041,0.11319826019545776,water,165600
4367212442693622771,940376366249863041,0.05346840647120876,water,165600
4367212442693622771,6678226921428014654,0.04961298305226158,water,165600
6020427076749934001,6678226921428014654,0.11705368361440538,energy,165600
9169393089374786098,940376366249863041,0.11319826019545776,energy,165600
4367212442693622771,940376366249863041,0.05346840647120876,energy,165600
4367212442693622771,6678226921428014654,0.04961298305226158,energy,165600
59157180392455231,4215053395084778161,0.16666666666666785,food,172800
59157180392455231,5486152879909817087,0.16666666666666674,food,172800
59157180392455231,471331748438011125,0.1666666666666643,food,172800
59157180392455231,4215053395084778161,0.16666666666666785,water,172800
59157180392455231,5486152879909817087,0.16666666666666674,water,172800
59157180392455231,471331748438011125,0.1666666666666643,water,172800
59157180392455231,4215053395084778161,0.16666666666666785,energy,172800
59157180392455231,5486152879909817087,0.16666666666666674,energy,172800
59157180392455231,471331748438011125,0.1666666666666643,energy,172800
6020427076749934001,940376366249863041,0.11626277656412487,food,172800
9169393089374786098,6678226921428014654,0.11245004728309738,food,172800
4367212442693622771,6678226921428014654,0.054216619383569586,food,172800
4367212442693622771,940376366249863041,0.05040389010254276,food,172800
6020427076749934001,940376366249863041,0.11626277656412487,water,172800
9169393089374786098,6678226921428014654,0.11245004728309738,water,172800
4367212442693622771,6678226921428014654,0.054216619383569586,water,172800
4367212442693622771,940376366249863041,0.05040389010254276,water,172800
6020427076749934001,940376366249863041,0.11626277656412487,energy,172800
